['Nombre', 'Nombre de funcions de Hash', 'Colisions de les funcions de hash', 'Probabilitat aproximada de un fals positiu', 'Probabilitat fals positiu empirica', 'Probabilitat aproximada de fals positiu a taula distribuida', 'Probabilitat de fals positiu empirica a taula distribuida', 'Colisions Insert', 'Colisions Search', 'Colisions Totals', 'Total Insert', 'Total Search', 'Total comandes', 'Ratio de ocupacion', 'Media probes teórica', 'Media probes empírica insertados', 'Media probes empírica no insertados', 'c1', 'c2', 'Total Inserts', 'Total Searches', 'Ratio de ocupación']
['Bloom Filter', '1', '10', '0.0951626', '0.18', '0.0952532', '0.18', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '2', '14', '0.0328585', '0.04', '0.032918', '0.04', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '3', '18', '0.0174106', '0.04', '0.0174555', '0.04', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '4', '22', '0.0118133', '0.08', '0.0118518', '0.08', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '5', '26', '0.00943092', '0.08', '0.00946737', '0.08', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '6', '30', '0.0084362', '0.06', '0.00847326', '0.06', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '7', '34', '0.00819371', '0.04', '0.00823345', '0.04', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '8', '40', '0.00845546', '0.06', '0.00849977', '0.06', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '9', '44', '0.00912698', '0.08', '0.00917781', '0.08', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '1', '24', '0.63212', '1.318', '0.632489', '1.318', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '2', '28', '0.747645', '1.534', '0.748113', '1.534', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '3', '34', '0.857952', '1.72', '0.858356', '1.72', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '4', '38', '0.928726', '1.83', '0.929003', '1.83', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '5', '58', '0.966761', '1.966', '0.966925', '1.966', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '6', '84', '0.985219', '1.988', '0.985307', '1.988', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '7', '96', '0.993634', '2.002', '0.993679', '2.002', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '8', '88', '0.997319', '2.002', '0.997341', '2.002', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '9', '94', '0.99889', '2.002', '0.9989', '2.002', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '1', '6', '0.181269', '0.22', '0.181433', '0.22', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '2', '10', '0.108689', '0.21', '0.108866', '0.21', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '3', '14', '0.0918488', '0.17', '0.0920503', '0.17', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '4', '18', '0.0919536', '0.26', '0.0921942', '0.26', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '5', '22', '0.100925', '0.27', '0.101219', '0.27', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '6', '28', '0.11645', '0.27', '0.116812', '0.27', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '7', '32', '0.137782', '0.27', '0.138225', '0.27', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '8', '38', '0.164616', '0.32', '0.165151', '0.32', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '9', '44', '0.196688', '0.39', '0.197321', '0.39', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '1', '8', '0.259182', '0.46', '0.259404', '0.46', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '2', '12', '0.203571', '0.366667', '0.203868', '0.366667', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '3', '18', '0.208982', '0.453333', '0.209369', '0.453333', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '4', '20', '0.238466', '0.533333', '0.23896', '0.533333', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '5', '38', '0.28297', '0.533333', '0.283581', '0.533333', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '6', '42', '0.338209', '0.633333', '0.338934', '0.633333', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '7', '48', '0.400756', '0.813333', '0.40158', '0.813333', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '8', '38', '0.467292', '0.966667', '0.468189', '0.966667', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '9', '44', '0.534655', '1.13333', '0.535592', '1.13333', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '1', '10', '0.32968', '0.645', '0.329948', '0.645', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '2', '14', '0.303238', '0.63', '0.303635', '0.63', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '3', '20', '0.341247', '0.67', '0.341778', '0.67', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bloom Filter', '4', '24', '0.40573', '0.86', '0.406387', '0.86', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
